Orden|Apellido|Total
468|ALCALDE|11216
469|AVILES|11215
470|PANIAGUA|11210
471|ALCALA|11199
472|FERRERO|11189
473|SAENZ|11172
474|DEL POZO|11168
475|AMAYA|11162
476|PENA|11156
477|VIVES|11047
478|LLORENS|10994
479|PAZOS|10983
480|GARZON|10981
481|NOGUERA|10967
482|REBOLLO|10961
483|LAFUENTE|10956
484|HERAS|10949
485|BONET|10929
486|SALGUERO|10883
487|CHAVES|10822
488|SERNA|10808
489|PAEZ|10792
490|SALCEDO|10786
491|BARTOLOME|10781
492|ARAUJO|10775
493|MATEU|10698
494|POVEDA|10695
495|HERVAS|10692
496|PIÑERO|10691
497|BRITO|10686
498|ARCE|10676
499|DOS SANTOS|10675
500|OLMO|10661
501|BARRANCO|10647
502|ABELLAN|10644
503|VALLES|10629
504|QUIROS|10546
505|HARO|10537
506|CABEZA|10524
507|VALIENTE|10503
508|GINER|10498
509|ANDRADE|10478
510|BORRAS|10475
511|LLOPIS|10416
512|AHMED|10401
513|SOUTO|10391
514|GARCES|10356
515|BILBAO|10350
516|MIRA|10337
517|PALOMINO|10327
518|ALVARADO|10321
519|BARCELO|10318
520|BORJA|10314
521|MELLADO|10298
522|LAGUNA|10298
523|YAÑEZ|10291
524|FUERTES|10265
525|AFONSO|10208
526|MOLERO|10197
527|PALOMARES|10186
528|OSORIO|10174
529|RIBAS|10145
530|CALLE|10137
531|DEL CASTILLO|10132
532|OROZCO|10116
533|CARREÑO|10109
534|OSUNA|10103
535|CASTELLO|10030
536|MAESTRE|10000
537|SAN JOSE|9975
538|CASTAÑEDA|9964
539|DEL PINO|9894
540|MONTESINOS|9879
541|PRATS|9832
542|ZAFRA|9796
543|VILCHEZ|9796
544|CEBALLOS|9796
545|BELLIDO|9772
546|BAEZA|9761
547|MINGUEZ|9750
548|OLMOS|9720
549|PAREJA|9692
550|PUERTAS|9685
551|FELIPE|9680
552|CARRERAS|9679
553|GASCON|9651
554|LEIVA|9647
555|VIZCAINO|9642
556|URBANO|9637
557|PERALES|9586
558|SEBASTIAN|9569
559|JAEN|9564
560|ZARAGOZA|9535
561|LUENGO|9530
562|PERIS|9516
563|MURCIA|9503
564|ZHANG|9485
565|BUSTAMANTE|9471
566|CHAVEZ|9455
567|GAGO|9434
568|CAMPILLO|9429
569|MONTORO|9410
570|ARCOS|9408
571|ALEGRE|9366
572|TEJADA|9356
573|DE CASTRO|9308
574|ENRIQUEZ|9285
575|CASAL|9264
576|BAÑOS|9257
577|CAÑAS|9242
578|ACEVEDO|9235
579|MONGE|9219
580|VALERA|9219
581|FUSTER|9177
582|LEDESMA|9148
583|SOBRINO|9143
584|NADAL|9122
585|VILAR|9116
586|SANJUAN|9111
587|TEJEDOR|9071
588|BUSTOS|9055
589|TELLO|9013
590|SEOANE|8994
591|CAZORLA|8940
592|FERRE|8920
593|VASQUEZ|8902
594|SALMERON|8899
595|PALLARES|8879
596|CONESA|8860
597|SARMIENTO|8836
598|VERDU|8825
599|JEREZ|8824
600|ZABALA|8775
601|MOREIRA|8774
